country,year2003,year2004,year2005,year2006,year2007,year2008,year2009,year2010,year2011,year2012,year2013,year2014
EU (28 countries),1182.7,1771.6,2499,3673.7,5326.3,6655.2,7984.7,8907.3,8486.5,9102.4,9781.1,11247.2
Euro area (19 countries),1038.3,1631.2,2249.9,3160.3,4633.6,5662.3,6896.4,7839.4,7263,7578.6,8271.5,9866.8
Belgium,0,0,0,0,127.5,251.6,223.6,285.4,257.4,269.1,265.1,339.6
Bulgaria,0,0,0,0,0,8.7,10.8,11,14.1,7.1,39.1,54.5
Czech Republic,100.3,75.2,112.1,97.3,72.3,67.8,136.9,175,185.7,152.6,160.6,193.8
Denmark,40.4,58.4,62.9,62.9,63,88.7,78,68.7,70.8,0,0,0
Germany,594.4,897.8,1322.8,2066.2,2633.1,2236.6,2158.5,2736,2721.9,2492,2667.7,3042.6
Estonia,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,0,0,1.2,2.2,21.7,37.9,57.7,63.4,24,23.9,21.8,24.2
Greece,0,0,0,42,83.1,62.9,70.8,112.5,98,124.3,137.9,141.6
Spain,92.2,100.9,145.3,56.5,161.5,198.2,652.1,754.7,609,444.6,646.2,1070.8
France,329.3,345.3,538.7,525.7,850.7,1567.8,1856,1774,1618.6,1944.7,1915.6,2074.5
Croatia,0,0,0,0,3.5,3.1,5.6,12.2,6.7,34.7,29.6,31.2
Italy,0,252.7,176.7,197.1,178.5,590.3,705.5,706.1,522.5,253.6,405.8,512.1
Cyprus,:,:,:,0,0.1,6,6.5,4.9,5.7,5.8,1.6,0
Latvia,0,0,1.9,6,8.1,25,39.9,38.6,53.2,80.4,58.7,66.6
Lithuania,0,2,6.2,9.1,21.9,57.1,92.5,78.8,70.6,94.3,103.7,105.8
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0
Hungary,0,0,0,0,8.2,122.7,112.3,126.6,127,128.9,125.4,117.5
Malta,0,0,0,0,0,0,0,0.5,0.7,1,1,1
Netherlands,0,0,0,16.3,75.1,73.3,242.1,337.6,433.9,1040.1,1215.1,1520
Austria,20.4,21.5,23.7,115.1,226.9,219.3,234,241.9,208.5,181.8,154.5,234.4
Poland,0,0,59,81.8,43.5,237.5,333.9,348.1,333.2,555.2,578.2,653
Portugal,0,0,0.1,80,159.5,144.5,221.8,279.7,323.1,268.8,264.6,286.5
Romania,0,0,0,0,19.6,81.6,72.3,10.8,94.1,88.7,120.8,96.9
Slovenia,0,0,0,1.8,4.4,7,6.2,16.5,0.3,0.9,1.5,0
Slovakia,1.9,11,33.4,42.4,44.6,100.8,99.7,111.7,114.6,99.3,94.8,92.8
Finland,0,0,0,0,36.8,83.9,229.6,297.1,200.9,253.9,315.8,354.2
Sweden,3.7,6.7,7.1,43.4,102.5,129.9,162.2,177.4,232.9,335.2,218.9,106.8
United Kingdom,0,0,7.9,228,380,253,176.3,138,158.9,221.3,237.2,126.8
Iceland,0,0,0,0,0,0,0,0,0,0.1,0.1,0
Norway,0,0,0,0,0,0,0,0,80.2,62.7,28.6,0
Montenegro,0,0,0,0,0,0,0,0,0,0,0,0
"Former Yugoslav Republic of Macedonia, the",0,0,0,0,3,1.1,0.5,1.8,4,0.8,0,0
Albania,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,0,0,0,0,0,0,0,0,0,0,0,0
Turkey,0,0,0,21.5,13.7,9.8,1,7.1,11,16.8,20.7,33.9
Kosovo (under United Nations Security Council Resolution 1244/99),0,0,0,0,0,0,0,0,0,0,0,0
Moldova,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,0,0,0,0,0,0,0,0,0,0,0,0
